"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 22:00:11 CST 2022","Tue May 31 22:01:09 CST 2022","58521","test_case","test_taobao2","","","","删除全部购物车的商品",""
"passed","Tue May 31 21:59:27 CST 2022","Tue May 31 22:00:04 CST 2022","36622","test_case","test_taobao2","","","","淘宝商品订购",""
