"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 29 22:04:55 CST 2022","Sun May 29 22:04:55 CST 2022","0","test_case","test_taobao","","","","test_cart_login",""
"skipped","Sun May 29 22:04:55 CST 2022","Sun May 29 22:04:55 CST 2022","0","test_case","test_taobao","","","","test_case_login2",""
"passed","Sun May 29 22:05:01 CST 2022","Sun May 29 22:05:09 CST 2022","8041","test_case","test_taobao","","","","test_case_login3",""
"passed","Sun May 29 22:05:16 CST 2022","Sun May 29 22:05:29 CST 2022","13120","test_case","test_taobao","","","","test_case_pay",""
